device,model,horizon_h,threshold_mm,subset,n,mae,rmse,skill_vs_persistence,skill_fold_min,gate_fired_frac
SE01-LS-2,gated_wb,6,1.0,event,60,0.9313,1.7088,0.0,0.0,0.0343
SE01-LS-2,gated_wb,6,2.0,event,60,0.9313,1.7088,0.0,0.0,0.0314
SE01-LS-2,gated_wb,6,5.0,event,60,0.9313,1.7088,0.0,0.0,0.0228
SE01-LS-2,gated_wb_selected,6,,event,60,0.9313,1.7088,0.0,0.0,0.025
SE01-LS-2,persistence,6,,quiet,1341,0.0755,0.1011,0.0,0.0,
SE01-LS-2,gated_wb,6,0.5,quiet,1341,0.0754,0.101,0.001,0.0,0.0343
SE01-LS-2,gated_wb,6,1.0,quiet,1341,0.0754,0.101,0.001,0.0,0.0343
SE01-LS-2,gated_wb,6,2.0,quiet,1341,0.0754,0.101,0.001,0.0,0.0314
SE01-LS-2,gated_wb,6,5.0,quiet,1341,0.0756,0.1011,-0.0008,-0.0092,0.0228
SE01-LS-2,gated_wb_selected,6,,quiet,1341,0.0754,0.101,0.001,0.0,0.025
SE01-LS-2,persistence,6,,all,1401,0.1121,0.3672,0.0,0.0,
SE01-LS-2,gated_wb,6,0.5,all,1401,0.1121,0.3672,0.0006,0.0,0.0343
SE01-LS-2,gated_wb,6,1.0,all,1401,0.1121,0.3672,0.0006,0.0,0.0343
SE01-LS-2,gated_wb,6,2.0,all,1401,0.1121,0.3672,0.0006,0.0,0.0314
SE01-LS-2,gated_wb,6,5.0,all,1401,0.1122,0.3672,-0.0005,-0.0092,0.0228
SE01-LS-2,gated_wb_selected,6,,all,1401,0.1121,0.3672,0.0006,0.0,0.025
SE01-LS-2,gated_wb,6,0.5,fired,48,0.9364,1.8685,0.0023,0.0,0.0343
SE01-LS-2,gated_wb,6,1.0,fired,48,0.9364,1.8685,0.0023,0.0,0.0343
SE01-LS-2,gated_wb,6,2.0,fired,44,0.9879,1.9472,0.0023,0.0,0.0314
SE01-LS-2,gated_wb,6,5.0,fired,32,1.0409,2.0168,-0.0024,-0.3027,0.0228
SE01-LS-2,gated_wb_selected,6,,fired,35,0.955,1.9285,0.003,0.0,0.025
SE01-LS-2,persistence,12,,event,60,1.6289,2.3963,0.0,0.0,
SE01-LS-2,gated_wb,12,0.5,event,60,1.6289,2.3963,0.0,0.0,0.0444
SE01-LS-2,gated_wb,12,1.0,event,60,1.6289,2.3963,0.0,0.0,0.0444
SE01-LS-2,gated_wb,12,2.0,event,60,1.6289,2.3963,0.0,0.0,0.0423
SE01-LS-2,gated_wb,12,5.0,event,60,1.6289,2.3963,0.0,0.0,0.0337
SE01-LS-2,gated_wb_selected,12,,event,60,1.6289,2.3963,0.0,0.0,0.0337
SE01-LS-2,persistence,12,,quiet,1335,0.1107,0.1522,0.0,0.0,
SE01-LS-2,gated_wb,12,0.5,quiet,1335,0.1107,0.1522,0.0,0.0,0.0444
SE01-LS-2,gated_wb,12,1.0,quiet,1335,0.1107,0.1522,0.0,0.0,0.0444
SE01-LS-2,gated_wb,12,2.0,quiet,1335,0.1107,0.1522,0.0,0.0,0.0423
SE01-LS-2,gated_wb,12,5.0,quiet,1335,0.1107,0.1522,0.0,0.0,0.0337
SE01-LS-2,gated_wb_selected,12,,quiet,1335,0.1107,0.1522,0.0,0.0,0.0337
SE01-LS-2,persistence,12,,all,1395,0.176,0.5188,0.0,0.0,
SE01-LS-2,gated_wb,12,0.5,all,1395,0.176,0.5188,0.0,0.0,0.0444
SE01-LS-2,gated_wb,12,1.0,all,1395,0.176,0.5188,0.0,0.0,0.0444
SE01-LS-2,gated_wb,12,2.0,all,1395,0.176,0.5188,0.0,0.0,0.0423
SE01-LS-2,gated_wb,12,5.0,all,1395,0.176,0.5188,0.0,0.0,0.0337
SE01-LS-2,gated_wb_selected,12,,all,1395,0.176,0.5188,0.0,0.0,0.0337
SE01-LS-2,gated_wb,12,0.5,fired,62,1.454,2.3393,0.0,0.0,0.0444
SE01-LS-2,gated_wb,12,1.0,fired,62,1.454,2.3393,0.0,0.0,0.0444
SE01-LS-2,gated_wb,12,2.0,fired,59,1.5019,2.3938,0.0,0.0,0.0423
SE01-LS-2,gated_wb,12,5.0,fired,47,1.7372,2.6463,0.0,0.0,0.0337
SE01-LS-2,gated_wb_selected,12,,fired,47,1.7372,2.6463,0.0,0.0,0.0337
SE01-LS-2,persistence,24,,event,60,2.035,2.8725,0.0,0.0,
SE01-LS-2,gated_wb,24,0.5,event,60,1.6653,2.2718,0.1817,0.1817,0.0622
SE01-LS-2,gated_wb,24,1.0,event,60,1.6653,2.2718,0.1817,0.1817,0.0622
SE01-LS-2,gated_wb,24,2.0,event,60,1.6663,2.2719,0.1812,0.1812,0.06
SE01-LS-2,gated_wb,24,5.0,event,60,1.6695,2.2751,0.1796,0.1796,0.0513
SE01-LS-2,gated_wb_selected,24,,event,60,1.6695,2.2751,0.1796,0.1796,0.0513
SE01-LS-2,persistence,24,,quiet,1323,0.1816,0.2857,0.0,0.0,
SE01-LS-2,gated_wb,24,0.5,quiet,1323,0.2126,0.4098,-0.1707,-1.2064,0.0622
SE01-LS-2,gated_wb,24,1.0,quiet,1323,0.2126,0.4098,-0.1707,-1.2064,0.0622
SE01-LS-2,gated_wb,24,2.0,quiet,1323,0.2127,0.4098,-0.1711,-1.2064,0.06
SE01-LS-2,gated_wb,24,5.0,quiet,1323,0.2125,0.4097,-0.1697,-1.1939,0.0513
SE01-LS-2,gated_wb_selected,24,,quiet,1323,0.2125,0.4097,-0.1697,-1.1939,0.0513
SE01-LS-2,persistence,24,,all,1383,0.262,0.6603,0.0,0.0,
SE01-LS-2,gated_wb,24,0.5,all,1383,0.2757,0.6201,-0.052,-1.2064,0.0622
SE01-LS-2,gated_wb,24,1.0,all,1383,0.2757,0.6201,-0.052,-1.2064,0.0622
SE01-LS-2,gated_wb,24,2.0,all,1383,0.2758,0.6202,-0.0524,-1.2064,0.06
SE01-LS-2,gated_wb,24,5.0,all,1383,0.2757,0.6206,-0.052,-1.1939,0.0513
SE01-LS-2,gated_wb_selected,24,,all,1383,0.2757,0.6206,-0.052,-1.1939,0.0513
SE01-LS-2,gated_wb,24,0.5,fired,86,1.8869,2.3182,-0.1313,-5.108,0.0622
SE01-LS-2,gated_wb,24,1.0,fired,86,1.8869,2.3182,-0.1313,-5.108,0.0622
SE01-LS-2,gated_wb,24,2.0,fired,83,1.9499,2.3596,-0.1329,-5.108,0.06
SE01-LS-2,gated_wb,24,5.0,fired,71,2.2099,2.5333,-0.1366,-5.3307,0.0513
SE01-LS-2,gated_wb_selected,24,,fired,71,2.2099,2.5333,-0.1366,-5.3307,0.0513
SE01-LS-2,persistence,48,,event,60,3.0745,3.3445,0.0,0.0,
SE01-LS-2,gated_wb,48,0.5,event,60,2.3862,2.5778,0.2239,0.2239,0.1325
SE01-LS-2,gated_wb,48,1.0,event,60,2.3862,2.5778,0.2239,0.2239,0.1295
SE01-LS-2,gated_wb,48,2.0,event,60,2.3862,2.5778,0.2239,0.2239,0.1251
SE01-LS-2,gated_wb,48,5.0,event,60,2.3892,2.5783,0.2229,0.2229,0.0846
SE01-LS-2,gated_wb_selected,48,,event,60,2.3892,2.5783,0.2229,0.2229,0.0876
SE01-LS-2,persistence,48,,quiet,1299,0.3508,0.5048,0.0,0.0,
SE01-LS-2,gated_wb,48,0.5,quiet,1299,0.3568,0.46,-0.017,-0.3855,0.1325
SE01-LS-2,gated_wb,48,1.0,quiet,1299,0.3563,0.4602,-0.0156,-0.3855,0.1295
SE01-LS-2,gated_wb,48,2.0,quiet,1299,0.3565,0.461,-0.0162,-0.3821,0.1251
SE01-LS-2,gated_wb,48,5.0,quiet,1299,0.3542,0.4597,-0.0095,-0.3816,0.0846
SE01-LS-2,gated_wb_selected,48,,quiet,1299,0.3544,0.4599,-0.01,-0.3855,0.0876
SE01-LS-2,persistence,48,,all,1359,0.4711,0.8587,0.0,0.0,
SE01-LS-2,gated_wb,48,0.5,all,1359,0.4464,0.704,0.0524,-0.3855,0.1325
SE01-LS-2,gated_wb,48,1.0,all,1359,0.4459,0.7041,0.0534,-0.3855,0.1295
SE01-LS-2,gated_wb,48,2.0,all,1359,0.4461,0.7047,0.053,-0.3821,0.1251
SE01-LS-2,gated_wb,48,5.0,all,1359,0.444,0.7039,0.0574,-0.3816,0.0846
SE01-LS-2,gated_wb_selected,48,,all,1359,0.4442,0.704,0.0571,-0.3855,0.0876
SE01-LS-2,gated_wb,48,0.5,fired,180,1.1669,1.5761,0.1377,-3.8078,0.1325
SE01-LS-2,gated_wb,48,1.0,fired,176,1.1813,1.5913,0.1412,-3.8078,0.1295
SE01-LS-2,gated_wb,48,2.0,fired,170,1.2007,1.6123,0.1425,-4.1151,0.1251
SE01-LS-2,gated_wb,48,5.0,fired,115,1.5711,1.9291,0.1691,-4.4812,0.0846
SE01-LS-2,gated_wb_selected,48,,fired,119,1.5279,1.8974,0.1673,-3.8078,0.0876
SE01-LS-3,persistence,6,,event,65,1.0097,1.902,0.0,0.0,
SE01-LS-3,gated_wb,6,0.5,event,65,1.0097,1.902,0.0,0.0,0.0343
SE01-LS-3,gated_wb,6,1.0,event,65,1.0097,1.902,0.0,0.0,0.0343
SE01-LS-3,gated_wb,6,2.0,event,65,1.0097,1.902,0.0,0.0,0.0314
SE01-LS-3,gated_wb,6,5.0,event,65,1.0097,1.902,0.0,0.0,0.0228
SE01-LS-3,gated_wb_selected,6,,event,65,1.0097,1.902,0.0,0.0,0.0228
SE01-LS-3,persistence,6,,quiet,1336,0.0892,0.1223,0.0,0.0,
SE01-LS-3,gated_wb,6,0.5,quiet,1336,0.0892,0.1223,0.0,0.0,0.0343
SE01-LS-3,gated_wb,6,1.0,quiet,1336,0.0892,0.1223,0.0,0.0,0.0343
SE01-LS-3,gated_wb,6,2.0,quiet,1336,0.0892,0.1223,0.0,0.0,0.0314
SE01-LS-3,gated_wb,6,5.0,quiet,1336,0.0892,0.1223,0.0,0.0,0.0228
SE01-LS-3,gated_wb_selected,6,,quiet,1336,0.0892,0.1223,0.0,0.0,0.0228
SE01-LS-3,persistence,6,,all,1401,0.1319,0.4267,0.0,0.0,
SE01-LS-3,gated_wb,6,0.5,all,1401,0.1319,0.4267,0.0,0.0,0.0343
SE01-LS-3,gated_wb,6,1.0,all,1401,0.1319,0.4267,0.0,0.0,0.0343
SE01-LS-3,gated_wb,6,2.0,all,1401,0.1319,0.4267,0.0,0.0,0.0314
SE01-LS-3,gated_wb,6,5.0,all,1401,0.1319,0.4267,0.0,0.0,0.0228
SE01-LS-3,gated_wb_selected,6,,all,1401,0.1319,0.4267,0.0,0.0,0.0228
SE01-LS-3,gated_wb,6,0.5,fired,48,1.0899,2.1761,0.0,0.0,0.0343
SE01-LS-3,gated_wb,6,1.0,fired,48,1.0899,2.1761,0.0,0.0,0.0343
SE01-LS-3,gated_wb,6,2.0,fired,44,1.168,2.2713,0.0,0.0,0.0314
SE01-LS-3,gated_wb,6,5.0,fired,32,0.8165,1.5289,0.0,0.0,0.0228
SE01-LS-3,gated_wb_selected,6,,fired,32,0.8165,1.5289,0.0,0.0,0.0228
SE01-LS-3,persistence,12,,event,65,1.6494,2.4769,0.0,0.0,
SE01-LS-3,gated_wb,12,0.5,event,65,1.6494,2.4769,0.0,0.0,0.0444
SE01-LS-3,gated_wb,12,1.0,event,65,1.6494,2.4769,0.0,0.0,0.0444
SE01-LS-3,gated_wb,12,2.0,event,65,1.6494,2.4769,0.0,0.0,0.0423
SE01-LS-3,gated_wb,12,5.0,event,65,1.6494,2.4769,0.0,0.0,0.0337
SE01-LS-3,gated_wb_selected,12,,event,65,1.6494,2.4769,0.0,0.0,0.0337
SE01-LS-3,persistence,12,,quiet,1330,0.1384,0.1829,0.0,0.0,
SE01-LS-3,gated_wb,12,0.5,quiet,1330,0.1384,0.1829,0.0,0.0,0.0444
SE01-LS-3,gated_wb,12,1.0,quiet,1330,0.1384,0.1829,0.0,0.0,0.0444
SE01-LS-3,gated_wb,12,2.0,quiet,1330,0.1384,0.1829,0.0,0.0,0.0423
SE01-LS-3,gated_wb,12,5.0,quiet,1330,0.1384,0.1829,0.0,0.0,0.0337
SE01-LS-3,gated_wb_selected,12,,quiet,1330,0.1384,0.1829,0.0,0.0,0.0337
SE01-LS-3,persistence,12,,all,1395,0.2088,0.5637,0.0,0.0,
SE01-LS-3,gated_wb,12,0.5,all,1395,0.2088,0.5637,0.0,0.0,0.0444
SE01-LS-3,gated_wb,12,1.0,all,1395,0.2088,0.5637,0.0,0.0,0.0444
SE01-LS-3,gated_wb,12,2.0,all,1395,0.2088,0.5637,0.0,0.0,0.0423
SE01-LS-3,gated_wb,12,5.0,all,1395,0.2088,0.5637,0.0,0.0,0.0337
SE01-LS-3,gated_wb_selected,12,,all,1395,0.2088,0.5637,0.0,0.0,0.0337
SE01-LS-3,gated_wb,12,0.5,fired,62,1.531,2.5082,0.0,0.0,0.0444
SE01-LS-3,gated_wb,12,1.0,fired,62,1.531,2.5082,0.0,0.0,0.0444
SE01-LS-3,gated_wb,12,2.0,fired,59,1.5965,2.5702,0.0,0.0,0.0423
SE01-LS-3,gated_wb,12,5.0,fired,47,1.5829,2.4413,0.0,0.0,0.0337
SE01-LS-3,gated_wb_selected,12,,fired,47,1.5829,2.4413,0.0,0.0,0.0337
SE01-LS-3,persistence,24,,event,65,2.1668,2.9297,0.0,0.0,
SE01-LS-3,gated_wb,24,0.5,event,65,2.1044,2.8206,0.0288,0.0288,0.0622
SE01-LS-3,gated_wb,24,1.0,event,65,2.1044,2.8206,0.0288,0.0288,0.0622
SE01-LS-3,gated_wb,24,2.0,event,65,2.1052,2.8206,0.0284,0.0284,0.06
SE01-LS-3,gated_wb,24,5.0,event,65,2.1111,2.8354,0.0257,0.0257,0.0513
SE01-LS-3,gated_wb_selected,24,,event,65,2.1111,2.8354,0.0257,0.0257,0.0513
SE01-LS-3,persistence,24,,quiet,1318,0.1888,0.2712,0.0,0.0,
SE01-LS-3,gated_wb,24,0.5,quiet,1318,0.2088,0.3228,-0.1061,-0.5654,0.0622
SE01-LS-3,gated_wb,24,1.0,quiet,1318,0.2088,0.3228,-0.1061,-0.5654,0.0622
SE01-LS-3,gated_wb,24,2.0,quiet,1318,0.2089,0.3228,-0.1066,-0.5654,0.06
SE01-LS-3,gated_wb,24,5.0,quiet,1318,0.2087,0.3227,-0.1056,-0.5591,0.0513
SE01-LS-3,gated_wb_selected,24,,quiet,1318,0.2087,0.3227,-0.1056,-0.5591,0.0513
SE01-LS-3,persistence,24,,all,1383,0.2818,0.6881,0.0,0.0,
SE01-LS-3,gated_wb,24,0.5,all,1383,0.2979,0.6879,-0.0573,-0.5654,0.0622
SE01-LS-3,gated_wb,24,1.0,all,1383,0.2979,0.6879,-0.0573,-0.5654,0.0622
SE01-LS-3,gated_wb,24,2.0,all,1383,0.2981,0.6879,-0.0578,-0.5654,0.06
