block_id,acquisition,ndvi_count,ndvi_coverage,ndvi_mean,ndvi_std,ndvi_q10,ndvi_q25,ndvi_q50,ndvi_q75,ndvi_iqr,ndvi_fraction_below,ndre_count,ndre_coverage,ndre_mean,ndre_std,ndre_q10,ndre_q25,ndre_q50,ndre_q75,ndre_iqr,ndre_fraction_below,quality_ok,stress_candidate_score,ndvi_rank,ndre_rank,index_disagreement,disagreement_flag,stress_candidate_rank
Ce,2026-06-01,8425366,1.0,0.5829890966415405,0.19268731772899628,0.313137412071228,0.4108082354068756,0.6021803021430969,0.7655336260795593,0.3547253906726837,0.23373655221624792,8425366,1.0,0.18292199075222015,0.04678000137209892,0.12778982520103455,0.1528967320919037,0.180012047290802,0.20781685411930084,0.054920122027397156,0.6899135301659299,True,0.33333333333333337,30.0,25.0,5.0,False,27.0
H1,2026-06-01,5843170,1.0,0.6284513473510742,0.1701478511095047,0.3727722465991974,0.5023528933525085,0.6588495373725891,0.7792328000068665,0.2768799066543579,0.12728792761463384,5843170,1.0,0.1778600513935089,0.038160692900419235,0.1301250159740448,0.15332365036010742,0.17740654945373535,0.2010965645313263,0.04777291417121887,0.7403101398727061,True,0.3205128205128205,36.0,17.0,19.0,True,28.0
C1,2026-06-01,17660028,1.0,0.5942968130111694,0.18141426146030426,0.3563225567340851,0.4384411871433258,0.5848796367645264,0.7735041379928589,0.3350629508495331,0.17478273533881147,17660028,1.0,0.1854696422815323,0.05023437738418579,0.12995998561382294,0.15186850726604462,0.17861482501029968,0.2117384672164917,0.05986995995044708,0.6760477389956573,True,0.3141025641025641,33.0,24.0,9.0,False,29.0
Cf,2026-06-01,4308359,1.0,0.5562809705734253,0.1613258719444275,0.34595388174057007,0.41878461837768555,0.5487716197967529,0.6991525888442993,0.28036797046661377,0.20996161183411133,4308359,1.0,0.19705426692962646,0.057707529515028,0.13787834346294403,0.1596311628818512,0.18522147834300995,0.2186720073223114,0.059040844440460205,0.6310657955848155,True,0.3141025641025641,22.0,31.0,9.0,False,29.0
Cc,2026-06-01,6774087,1.0,0.577153205871582,0.18751221895217896,0.3210407495498657,0.40664350986480713,0.5864061713218689,0.7572145462036133,0.35057103633880615,0.2390147926945727,6774087,1.0,0.18836727738380432,0.04563751444220543,0.1367129683494568,0.158585786819458,0.18331709504127502,0.21189719438552856,0.05331140756607056,0.6601884504878665,True,0.30128205128205127,28.0,30.0,2.0,False,31.0
2,2026-06-01,4904813,1.0,0.5930877327919006,0.1621195524930954,0.38620084524154663,0.4536823034286499,0.5768561363220215,0.7485994696617126,0.29491716623306274,0.12751821527140791,4904813,1.0,0.19165849685668945,0.051119305193424225,0.1405371129512787,0.15778303146362305,0.17993947863578796,0.21252596378326416,0.05474293231964111,0.676469418915665,True,0.2948717948717949,34.0,26.0,8.0,False,32.0
H3,2026-06-01,5852715,1.0,0.558066189289093,0.16646812856197357,0.3399873375892639,0.41897308826446533,0.5508139133453369,0.7034372091293335,0.28446412086486816,0.2119669247520168,5852715,1.0,0.19489169120788574,0.055150553584098816,0.13372935354709625,0.1636728197336197,0.19141457974910736,0.22178643941879272,0.058113619685173035,0.5816459540572196,True,0.2692307692307693,22.0,34.0,12.0,True,33.0
C4,2026-06-01,7406892,1.0,0.5884008407592773,0.20359420776367188,0.3243134021759033,0.40360450744628906,0.5799579620361328,0.796562910079956,0.392958402633667,0.2429282079447088,7406892,1.0,0.19664207100868225,0.05173053592443466,0.13731177151203156,0.16191573441028595,0.19103285670280457,0.22640278935432434,0.06448705494403839,0.5732421911916631,True,0.25,27.0,34.0,7.0,False,34.0
P7,2026-06-01,11881666,1.0,0.6442397236824036,0.18139410018920898,0.39598390460014343,0.48444288969039917,0.6620461940765381,0.8232226371765137,0.3387797474861145,0.10559739686336916,11881666,1.0,0.1838390827178955,0.046065010130405426,0.13136929273605347,0.15389692783355713,0.17924822866916656,0.20956242084503174,0.05566549301147461,0.6831566381347531,True,0.22435897435897434,39.0,23.0,16.0,True,35.0
Cd,2026-06-01,6654807,1.0,0.5844312906265259,0.18363553285598755,0.3288085162639618,0.4203856587409973,0.5965262651443481,0.7589693069458008,0.33858364820480347,0.2169491917646898,6654807,1.0,0.19735027849674225,0.04327508807182312,0.1460740566253662,0.16783389449119568,0.1940462738275528,0.22146235406398773,0.05362845957279205,0.5599894933091223,True,0.1794871794871795,30.0,37.0,7.0,False,36.0
H5,2026-06-01,15611759,1.0,0.573573112487793,0.15839165449142456,0.36105260252952576,0.4480895400047302,0.5733950138092041,0.7067517638206482,0.25866222381591797,0.1609584800790225,15611759,1.0,0.1948716938495636,0.04358234629034996,0.14026112854480743,0.1671525537967682,0.1951521933078766,0.221761554479599,0.05460900068283081,0.5478294278050283,True,0.16666666666666666,30.0,38.0,8.0,False,37.0
P9,2026-06-01,1488224,1.0,0.5765913724899292,0.16640403866767883,0.367530882358551,0.4436033368110657,0.5618832111358643,0.7154859900474548,0.27188265323638916,0.1575938837164298,1488224,1.0,0.20609676837921143,0.0479285754263401,0.15185412764549255,0.17657357454299927,0.20301026105880737,0.2298685908317566,0.053295016288757324,0.469056405487346,True,0.16025641025641027,29.0,39.0,10.0,False,38.0
C5,2026-06-01,2180488,1.0,0.6296601891517639,0.15407565236091614,0.4182453155517578,0.5152106285095215,0.6370797157287598,0.7609316110610962,0.2457209825515747,0.08036136864775224,2180488,1.0,0.19571687281131744,0.05633572116494179,0.13558928668498993,0.1610891968011856,0.18842202425003052,0.21860401332378387,0.05751481652259827,0.6101418581528538,True,0.1282051282051282,38.0,33.0,5.0,False,39.0
