device,barrier,horizon_h,cost_ratio,boundary_sigmas,sigma_median,boundary_level,premium_level
SE0X-LS-1,25.000000,6,0.200000,1.999654,0.022252,25.044497,0.044497
SE0X-LS-1,25.000000,12,0.200000,2.540848,0.022252,25.056539,0.056539
SE0X-LS-1,25.000000,24,0.200000,3.089877,0.022252,25.068757,0.068757
SE0X-LS-1,25.000000,48,0.200000,4.327898,0.022252,25.096305,0.096305
SE0X-LS-1,25.000000,6,0.300000,1.572328,0.022252,25.034988,0.034988
SE0X-LS-1,25.000000,12,0.300000,2.204830,0.022252,25.049062,0.049062
SE0X-LS-1,25.000000,24,0.300000,2.699925,0.022252,25.060079,0.060079
SE0X-LS-1,25.000000,48,0.300000,3.461816,0.022252,25.077033,0.077033
SE0X-LS-1,25.000000,6,0.500000,0.979189,0.022252,25.021789,0.021789
SE0X-LS-1,25.000000,12,0.500000,1.514828,0.022252,25.033708,0.033708
SE0X-LS-1,25.000000,24,0.500000,2.164743,0.022252,25.048170,0.048170
SE0X-LS-1,25.000000,48,0.500000,2.705405,0.022252,25.060201,0.060201
