device,fold,model,n,n_event,n_censored,ibs,brier_6h,brier_12h,brier_24h,brier_48h,skill_vs_km-train,skill_vs_drydown-clock,skill_vs_gauss-continuous
SE01-LS-3,1,gauss-continuous,144,124,18,0.191354,0.158275,0.272824,0.249281,0.054544,0.020482,0.637845,0.000000
SE01-LS-3,1,gauss-discrete,144,124,18,0.180697,0.118235,0.228886,0.244119,0.076773,0.075035,0.658015,0.055694
SE01-LS-3,1,hazard-glm,144,124,18,0.178094,0.081806,0.170290,0.321269,0.060072,0.088356,0.662940,0.069293
SE01-LS-3,1,km-train,144,124,18,0.195355,0.085285,0.189349,0.316375,0.093579,0.000000,0.630273,-0.020910
SE01-LS-3,2,drydown-clock,389,80,33,0.093520,0.005182,0.036791,0.050087,0.307884,0.469426,0.000000,0.421040
SE01-LS-3,2,fhs-discrete,389,80,33,0.135917,0.005185,0.041271,0.107926,0.310830,0.228898,-0.453336,0.158576
SE01-LS-3,2,fhs-hazard-blend,389,80,33,0.122777,0.005226,0.037876,0.086668,0.301251,0.303443,-0.312838,0.239919
SE01-LS-3,2,gauss-continuous,389,80,33,0.161532,0.008496,0.058808,0.149009,0.334455,0.083575,-0.727234,0.000000
SE01-LS-3,2,gauss-discrete,389,80,33,0.141697,0.006246,0.048772,0.122661,0.306102,0.196106,-0.515140,0.122794
SE01-LS-3,2,hazard-glm,389,80,33,0.112769,0.005745,0.037143,0.071247,0.292255,0.360220,-0.205828,0.301874
SE01-LS-3,2,km-train,389,80,33,0.176263,0.008763,0.052557,0.135431,0.425631,0.000000,-0.884752,-0.091197
SE01-LS-3,3,drydown-clock,402,12,0,0.008188,0.000000,0.000000,0.000000,0.029851,0.946899,0.000000,0.729845
SE01-LS-3,3,fhs-discrete,402,12,0,0.020836,0.000000,0.000018,0.003125,0.093127,0.864875,-1.544686,0.312541
SE01-LS-3,3,fhs-hazard-blend,402,12,0,0.026826,0.000092,0.000738,0.006223,0.108172,0.826034,-2.276150,0.114933
SE01-LS-3,3,gauss-continuous,402,12,0,0.030309,0.000000,0.000134,0.009292,0.119156,0.803443,-2.701582,0.000000
SE01-LS-3,3,gauss-discrete,402,12,0,0.024821,0.000000,0.000065,0.006266,0.101206,0.839034,-2.031331,0.181072
SE01-LS-3,3,hazard-glm,402,12,0,0.035844,0.000365,0.002656,0.011494,0.127107,0.767551,-3.377519,-0.182607
