device,model,horizon_h,n,crps,crps_skill,crps_skill_fold_median,crps_skill_fold_min,pinball_p05,pinball_p25,pinball_p50,pinball_p75,pinball_p95,cov50,cov90
SE01-LS-4,persistence-point,6,1401,0.08,0.0,0.0,0.0,0.05,0.0456,0.04,0.0345,0.03,0.0771,0.0771
SE01-LS-4,gaussian-fixed,6,1401,0.1014,-0.2672,-0.3671,-1.1532,0.0274,0.0535,0.04,0.0725,0.0408,0.9479,0.9857
SE01-LS-4,climatology-ensemble,6,1401,2.2836,-27.5364,-39.9654,-108.8765,0.9352,1.6361,1.4752,0.9032,0.2438,0.1163,0.3697
SE01-LS-4,gaussian-ewma,12,1395,0.1175,0.0953,0.2388,-0.0032,0.0263,0.0562,0.065,0.0771,0.0492,0.6789,0.8982
SE01-LS-4,persistence-point,12,1395,0.1299,0.0,0.0,0.0,0.0848,0.076,0.065,0.0539,0.0451,0.033,0.033
SE01-LS-4,gaussian-fixed,12,1395,0.1621,-0.2473,-0.4302,-0.8754,0.0435,0.0825,0.065,0.1199,0.0665,0.9606,0.9821
SE01-LS-4,climatology-ensemble,12,1395,2.2946,-16.6605,-26.8836,-68.115,0.9341,1.6564,1.4799,0.9125,0.2426,0.1097,0.3713
SE01-LS-4,gaussian-ewma,24,1383,0.1774,0.1263,0.2882,-0.0144,0.0351,0.0748,0.1015,0.1262,0.0749,0.611,0.9313
SE01-LS-4,persistence-point,24,1383,0.203,0.0,0.0,0.0,0.142,0.124,0.1015,0.079,0.061,0.0065,0.0065
SE01-LS-4,gaussian-fixed,24,1383,0.2139,-0.0535,-0.1753,-0.4744,0.055,0.0952,0.1015,0.1655,0.0872,0.9573,0.9718
SE01-LS-4,climatology-ensemble,24,1383,2.3117,-10.3866,-15.2099,-46.2868,0.9512,1.6624,1.4901,0.9218,0.2444,0.107,0.3644
SE01-LS-4,gaussian-ewma,48,1359,0.2778,0.189,0.3123,0.0582,0.0497,0.1146,0.1713,0.2051,0.0959,0.5762,0.9301
SE01-LS-4,gaussian-fixed,48,1359,0.3014,0.1203,0.0999,-0.3053,0.0677,0.1176,0.1713,0.2403,0.1064,0.9102,0.9603
SE01-LS-4,persistence-point,48,1359,0.3426,0.0,0.0,0.0,0.2523,0.2163,0.1713,0.1263,0.0903,0.0,0.0
SE01-LS-4,climatology-ensemble,48,1359,2.3468,-5.8503,-7.9262,-24.362,1.0074,1.6831,1.498,0.9345,0.2441,0.1074,0.3716
SE0X-LS-1,gaussian-ewma,6,1401,0.0483,0.2498,0.3111,0.1667,0.0071,0.0209,0.0322,0.0326,0.0165,0.5503,0.9458
SE0X-LS-1,persistence-point,6,1401,0.0644,0.0,0.0,0.0,0.0411,0.0371,0.0322,0.0273,0.0234,0.0,0.0
SE0X-LS-1,gaussian-fixed,6,1401,0.1516,-1.3527,-1.103,-2.608,0.0494,0.0983,0.0322,0.1138,0.0531,0.9936,0.9957
SE0X-LS-1,climatology-ensemble,6,1401,3.0119,-45.7441,-62.9902,-84.1813,0.6178,1.4285,2.2233,1.7943,0.4564,0.2877,0.3911
SE0X-LS-1,gaussian-ewma,12,1395,0.0762,0.2355,0.2865,0.1776,0.0119,0.0296,0.0499,0.0538,0.0287,0.6057,0.9197
SE0X-LS-1,persistence-point,12,1395,0.0997,0.0,0.0,0.0,0.0677,0.0598,0.0499,0.0399,0.032,0.0,0.0
SE0X-LS-1,gaussian-fixed,12,1395,0.2635,-1.6425,-1.7444,-3.3426,0.0863,0.1712,0.0499,0.2002,0.0908,0.9907,0.9971
SE0X-LS-1,climatology-ensemble,12,1395,3.0182,-29.2657,-50.1904,-65.7546,0.6174,1.4361,2.2324,1.797,0.4591,0.2889,0.3928
SE0X-LS-1,gaussian-ewma,24,1383,0.1185,0.2306,0.2768,0.1737,0.0173,0.0381,0.077,0.0924,0.0472,0.6435,0.9624
SE0X-LS-1,persistence-point,24,1383,0.154,0.0,0.0,0.0,0.1122,0.0966,0.077,0.0574,0.0418,0.0,0.0
SE0X-LS-1,gaussian-fixed,24,1383,0.3443,-1.2362,-2.0174,-3.5106,0.1101,0.2141,0.077,0.2682,0.1179,0.9834,1.0
SE0X-LS-1,climatology-ensemble,24,1383,3.0329,-18.6973,-42.7831,-70.1223,0.6317,1.4367,2.2384,1.7956,0.4549,0.2914,0.3962
SE0X-LS-1,gaussian-ewma,48,1359,0.2149,0.2663,0.2909,0.2203,0.0352,0.0679,0.1464,0.1707,0.0648,0.6394,0.9588
SE0X-LS-1,persistence-point,48,1359,0.2928,0.0,0.0,0.0,0.2171,0.1857,0.1464,0.1071,0.0757,0.0,0.0
SE0X-LS-1,gaussian-fixed,48,1359,0.493,-0.6834,-1.2224,-2.5505,0.154,0.2926,0.1464,0.3818,0.1697,0.9669,1.0
SE0X-LS-1,climatology-ensemble,48,1359,3.0579,-9.442,-21.3793,-38.1194,0.6452,1.4817,2.2519,1.7975,0.4581,0.2965,0.4032
