device,model,horizon_h,n,mae,rmse,skill_vs_persistence,skill_fold_median,skill_fold_min,precision,recall
ALL,pooled_gbt,12,6975,0.24043461733217486,1.108495936341903,-0.5220759174668783,0.008345480199688837,-0.8694233663016058,0.9910365058670143,0.9913596348223019
SE01-LS-1,pooled_gbt,12,1395,0.14094919674047768,0.32282875566674024,0.19607479494229074,0.07532912567076722,-0.21046015694543296,1.0,1.0
SE01-LS-1,persistence,12,1395,0.17532625653944975,0.42369117765209857,0.0,0.0,0.0,1.0,1.0
SE01-LS-2,persistence,12,1395,0.17601368227044215,0.5187889881805853,0.0,0.0,0.0,0.9851742031134173,0.9851742031134173
SE01-LS-2,pooled_gbt,12,1395,0.21144172944902792,0.8106336973246163,-0.20128007505775125,0.020515199261527117,-0.34941707125090127,0.9838235294117647,0.9918458117123795
SE01-LS-3,persistence,12,1395,0.20883097886891128,0.5637017392156668,0.0,0.0,0.0,0.9964028776978417,0.9964028776978417
SE01-LS-3,pooled_gbt,12,1395,0.25841181805641483,1.0672117737527087,-0.23742090113280923,0.10120682715374585,-0.4165586859439079,0.9963846710050615,0.9913669064748202
SE01-LS-4,persistence,12,1395,0.12992896125360773,0.4232150992675398,0.0,0.0,0.0,0.9815950920245399,0.971379011274935
SE01-LS-4,pooled_gbt,12,1395,0.4743855285526222,2.0415675025947415,-2.6511146089028705,-0.3492374549032744,-4.4945456712487895,0.9756733275412685,0.97398091934085
SE0X-LS-1,persistence,12,1395,0.09972477624089757,0.21117415356462646,0.0,0.0,0.0,1.0,1.0
SE0X-LS-1,pooled_gbt,12,1395,0.11698481386233171,0.27483080253442094,-0.17307672448159095,-0.11062405242816697,-0.7063583348585911,1.0,1.0
ALL,pooled_gbt,24,6915,0.15841485940071767,0.3405816097116238,0.3302399663606178,0.10692823368571147,-0.04246526367912873,0.9896788990825688,0.9945670069147184
ALL,persistence,24,6915,0.2365248020845817,0.5664598167248378,0.0,0.0,0.0,0.9912396694214876,0.9873230161343431
SE01-LS-1,pooled_gbt,24,1383,0.15613289863669047,0.30121635878579567,0.4459799594036392,0.06683675769058417,-0.35295874376734204,1.0,1.0
SE01-LS-1,persistence,24,1383,0.28181814229793056,0.5850733725997329,0.0,0.0,0.0,1.0,1.0
SE01-LS-2,pooled_gbt,24,1383,0.1566955845995049,0.3294333930917207,0.4020221703626966,0.05787391795517838,-0.27726047054757674,0.981536189069424,0.994016454749439
SE01-LS-2,persistence,24,1383,0.26204246517725716,0.6603262007959385,0.0,0.0,0.0,0.9820493642483171,0.9820493642483171
SE01-LS-3,pooled_gbt,24,1383,0.21499126610856217,0.40064233433182067,0.2369969102657703,0.08451931761932485,-1.3896154205138824,0.9963846710050615,1.0
SE01-LS-3,persistence,24,1383,0.28176984995361976,0.6881285637638581,0.0,0.0,0.0,0.9963715529753265,0.9963715529753265
SE01-LS-4,pooled_gbt,24,1383,0.13371566793245465,0.31353709964210313,0.3413688348790348,0.28800481395968947,-0.03730122673677916,0.9712793733681462,0.9780893952673094
SE01-LS-4,persistence,24,1383,0.20302055993341314,0.5120762064148334,0.0,0.0,0.0,0.9785138764547896,0.957931638913234
SE0X-LS-1,pooled_gbt,24,1383,0.1305388797263762,0.3491442626964882,0.1521962577234257,0.2277405156105149,-0.36705353679689146,1.0,1.0
SE0X-LS-1,persistence,24,1383,0.1539729930606879,0.3004981124615308,0.0,0.0,0.0,1.0,1.0
ALL,pooled_gbt,48,6795,0.2972580334727778,0.5274566662195281,0.3018550774148916,0.19936639882981744,-0.35505658197534484,0.9878150559172092,0.9939536446086664
ALL,persistence,48,6795,0.4257827047886896,0.7457337228389213,0.0,0.0,0.0,0.9842533017270573,0.9763184413839435
SE01-LS-1,pooled_gbt,48,1359,0.34568671506246296,0.5471204187310081,0.3360159269343954,-0.21643486568202785,-0.735770948100605,1.0,1.0
SE01-LS-1,persistence,48,1359,0.5206250105765828,0.8394568383437447,0.0,0.0,0.0,1.0,1.0
SE01-LS-2,pooled_gbt,48,1359,0.322415971401616,0.5357510987896567,0.3156007226166938,0.21236504276510826,-0.49665892401111567,0.9840667678300455,0.9878141660319878
SE01-LS-2,persistence,48,1359,0.4710933837252475,0.8587348799398947,0.0,0.0,0.0,0.9695354150799695,0.9695354150799695
SE01-LS-3,pooled_gbt,48,1359,0.38717176011741156,0.6602142773692219,0.22837308504848497,0.22208659113386198,-1.284868526022009,0.9963126843657817,0.9977843426883308
SE01-LS-3,persistence,48,1359,0.501760310086824,0.8857806262829105,0.0,0.0,0.0,0.9963072378138847,0.9963072378138847
SE01-LS-4,pooled_gbt,48,1359,0.2382089371298691,0.47812469456248324,0.30467961568585944,0.3491994899595888,0.11645524348921832,0.9590235396687009,0.9847806624888094
SE01-LS-4,persistence,48,1359,0.3425887439857481,0.6032395655702664,0.0,0.0,0.0,0.9550982226379794,0.9140555058191585
SE0X-LS-1,pooled_gbt,48,1359,0.1928067836525293,0.3744283184505996,0.3416104918671853,0.5535167833886188,-0.538618209320914,1.0,1.0
SE0X-LS-1,persistence,48,1359,0.292846075569046,0.43586151247956617,0.0,0.0,0.0,1.0,1.0
ALL,persistence,6,6830,0.09921074560201189,0.3217170717600586,0.0,0.0,0.0,0.9951529333110479,0.9941559525797296
ALL,pooled_ridge,6,6830,0.1755292634543894,0.34263542457406254,-0.7692565698329945,-0.8681024270119992,-1.834363333502277,0.993322203672788,0.9934880614459843
SE01-LS-1,persistence,6,1366,0.10491931504210768,0.28679729669687865,0.0,0.0,0.0,1.0,1.0
SE01-LS-1,pooled_ridge,6,1366,0.168678977661699,0.30231453254303997,-0.6077018573177153,-0.6828269114946002,-1.8232068630130551,1.0,1.0
SE01-LS-2,persistence,6,1366,0.11351633225242778,0.37167046927234204,0.0,0.0,0.0,0.990909090909091,0.990909090909091
SE01-LS-2,pooled_ridge,6,1366,0.21778892819144904,0.41498209173634176,-0.9185691069294672,-1.4926887517992795,-2.5075762271565014,0.9931662870159453,0.990909090909091
SE01-LS-3,persistence,6,1366,0.13254578847717707,0.43154395028096054,0.0,0.0,0.0,0.9963262307127112,0.9963262307127112
SE01-LS-3,pooled_ridge,6,1366,0.18454666159615057,0.4098219580178678,-0.392323843076519,-0.530511718627523,-0.9903453180306017,0.9970674486803519,0.9992652461425422
SE01-LS-4,persistence,6,1366,0.08013546482935888,0.303924659171673,0.0,0.0,0.0,0.9892665474060823,0.9839857651245552
SE01-LS-4,pooled_ridge,6,1366,0.14410739829693275,0.30820574580989823,-0.7982974030761067,-0.6033229901406645,-3.2040960732947177,0.976,0.9768683274021353
SE0X-LS-1,persistence,6,1366,0.06493682740898805,0.1360785240618787,0.0,0.0,0.0,1.0,1.0
SE0X-LS-1,pooled_ridge,6,1366,0.16252435152571562,0.2458579646723279,-1.5028070820598831,-1.1807139907431616,-3.1436065461402034,1.0,1.0
ALL,persistence,12,6800,0.15936773744726265,0.4501651808357671,0.0,0.0,0.0,0.9922650075668404,0.9902668232924987
ALL,pooled_ridge,12,6800,0.3012092182536107,0.4818244700611717,-0.8900263194944689,-1.5595536340546463,-3.2536960658120933,0.9910954301075269,0.9899311965094815
