device,model,horizon_h,n,crps,crps_skill,crps_skill_fold_median,crps_skill_fold_min,ceiling,efficiency,efficiency_fold_min,ceiling_oracle,efficiency_oracle,cov50,cov90
SE01-LS-4,fhs-adaptive,12,1395,0.1024,0.2118,0.2553,0.1625,0.1219,1.7373,1.3953,0.2577,0.8218,0.2832,0.8308
SE01-LS-4,fhs-ewma,12,1395,0.105,0.192,0.2957,0.1181,0.1219,1.5748,1.0139,0.2577,0.7449,0.448,0.9534
SE01-LS-4,gaussian-ewma,12,1395,0.1175,0.0953,0.2388,-0.0032,0.1219,0.7815,-0.0274,0.2577,0.3697,0.6789,0.8982
SE01-LS-4,persistence-point,12,1395,0.1299,0.0,0.0,0.0,0.1219,0.0,0.0,0.2577,0.0,0.033,0.033
SE01-LS-4,fhs-adaptive,24,1383,0.1411,0.3049,0.4166,0.2046,0.1684,1.8103,1.2963,0.4098,0.7439,0.3724,0.8626
SE01-LS-4,fhs-ewma,24,1383,0.1483,0.2697,0.4691,0.12,0.1684,1.6013,0.7602,0.4098,0.658,0.4772,0.9465
SE01-LS-4,gaussian-ewma,24,1383,0.1774,0.1263,0.2882,-0.0144,0.1684,0.7498,-0.0915,0.4098,0.3081,0.611,0.9313
SE01-LS-4,persistence-point,24,1383,0.203,0.0,0.0,0.0,0.1684,0.0,0.0,0.4098,0.0,0.0065,0.0065
SE01-LS-4,fhs-adaptive,48,1359,0.2154,0.3714,0.5497,0.2356,0.2056,1.8067,1.2085,0.5023,0.7393,0.5166,0.8646
SE01-LS-4,fhs-ewma,48,1359,0.2329,0.3202,0.52,0.1271,0.2056,1.5577,0.6518,0.5023,0.6374,0.6166,0.9478
SE01-LS-4,gaussian-ewma,48,1359,0.2778,0.189,0.3123,0.0582,0.2056,0.9197,0.2986,0.5023,0.3763,0.5762,0.9301
SE01-LS-4,persistence-point,48,1359,0.3426,0.0,0.0,0.0,0.2056,0.0,0.0,0.5023,0.0,0.0,0.0
SE0X-LS-1,fhs-ewma,6,1401,0.0442,0.3143,0.3085,0.2811,0.152,2.0685,1.5436,0.3571,0.8803,0.3426,0.9058
SE0X-LS-1,gaussian-ewma,6,1401,0.0483,0.2498,0.3111,0.1667,0.152,1.6439,1.2806,0.3571,0.6997,0.5503,0.9458
SE0X-LS-1,fhs-adaptive,6,1401,0.0487,0.2444,0.2614,0.2213,0.152,1.6079,1.5284,0.3571,0.6843,0.1185,0.7438
SE0X-LS-1,persistence-point,6,1401,0.0644,0.0,0.0,0.0,0.152,0.0,0.0,0.3571,0.0,0.0,0.0
SE0X-LS-1,fhs-ewma,12,1395,0.065,0.3479,0.3404,0.2966,0.1521,2.2871,1.635,0.4071,0.8546,0.4502,0.8853
SE0X-LS-1,fhs-adaptive,12,1395,0.0729,0.2694,0.2778,0.2472,0.1521,1.7708,1.559,0.4071,0.6617,0.1591,0.7556
SE0X-LS-1,gaussian-ewma,12,1395,0.0762,0.2355,0.2865,0.1776,0.1521,1.5479,1.3665,0.4071,0.5784,0.6057,0.9197
SE0X-LS-1,persistence-point,12,1395,0.0997,0.0,0.0,0.0,0.1521,0.0,0.0,0.4071,0.0,0.0,0.0
SE0X-LS-1,fhs-ewma,24,1383,0.0896,0.4178,0.4949,0.3462,0.1665,2.5087,2.1508,0.521,0.8019,0.4845,0.9429
SE0X-LS-1,fhs-adaptive,24,1383,0.0983,0.3616,0.4279,0.2983,0.1665,2.1711,2.0896,0.521,0.694,0.2509,0.7375
SE0X-LS-1,gaussian-ewma,24,1383,0.1185,0.2306,0.2768,0.1737,0.1665,1.3847,1.1306,0.521,0.4427,0.6435,0.9624
SE0X-LS-1,persistence-point,24,1383,0.154,0.0,0.0,0.0,0.1665,0.0,0.0,0.521,0.0,0.0,0.0
SE0X-LS-1,fhs-adaptive,48,1359,0.1667,0.4308,0.5151,0.3597,0.1841,2.3404,2.1317,0.5802,0.7425,0.3657,0.6961
SE0X-LS-1,fhs-ewma,48,1359,0.168,0.4262,0.5376,0.3348,0.1841,2.3155,1.9841,0.5802,0.7346,0.4356,0.9882
SE0X-LS-1,gaussian-ewma,48,1359,0.2149,0.2663,0.2909,0.2203,0.1841,1.4464,1.2251,0.5802,0.4589,0.6394,0.9588
SE0X-LS-1,persistence-point,48,1359,0.2928,0.0,0.0,0.0,0.1841,0.0,0.0,0.5802,0.0,0.0,0.0
